System,Build version,Test cycle,Scenario,Step name,Count,Avg. latency (s),ResponseTime,Min (s),Max (s),90th percentile of resp. time (s),Avg. sent bytes,Avg. received bytes,Success count,Lower std. dev. of resp. time (s),Upper std. dev. of resp. time (s),Std. dev. (s),Error count,% Errors,Sent bytes per second,Received bytes per second
WPC,HTS2402,01-Dec,WPC_MSP_Request,WPC_MSP_Request,221,0.041,0.042,0.009,1.059,0.064,"1,474","7,812.50",221,-0.236,0.32,0.139,0,0.00%,45,240
WPC,HTS2402,01-Dec,VOLT_API_TV05_INT_ProductOrder_Transaction,VOLT_API_TV05_INT_ProductOrder_Transaction,128,0,0.099,0.023,1.446,0.116,"4,036.69",542.992,128,-0.341,0.539,0.22,0,0.00%,72,10
WPC,HTS2402,01-Dec,VOLT_API_TV04_ProductInvetory_Transaction,VOLT_API_TV04_ProductInvetory_Transaction,128,0,0.02,0.011,0.104,0.028,"5,950",858,128,-0.001,0.041,0.01,0,0.00%,106,15
WPC,HTS2402,01-Dec,VOLT_API_TV03_ProductOrder_Transaction,VOLT_API_TV03_ProductOrder_Transaction,128,0,0.579,0.401,1.889,0.695,"7,236","44,608.98",128,0.199,0.96,0.19,0,0.00%,129,793
WPC,HTS2402,01-Dec,VOLT_API_TV02_CatalogManagement_Transaction,VOLT_API_TV02_CatalogManagement_Transaction,128,0,0.079,0.04,0.385,0.13,"1,762","1,24,747.55",128,-0.009,0.166,0.044,0,0.00%,31,"2,218"
WPC,HTS2402,01-Dec,VOLT_API_TV01_ProductOfferingQualification_Transaction,VOLT_API_TV01_ProductOfferingQualification_Transaction,128,0,0.339,0.19,3.04,0.478,"13,946.44","2,94,838.29",128,-0.236,0.914,0.288,0,0.00%,248,"5,242"
WPC,HTS2402,01-Dec,Reco_Data_Configuration,Reco_Data_Configuration,55,0.064,0.066,0.027,0.187,0.146,"1,601","2,309.35",55,-0.031,0.163,0.049,0,0.00%,12,18
WPC,HTS2402,01-Dec,Reco_API_Initialization,Reco_API_Initialization,55,0.089,0.089,0.018,1.069,0.055,"55,466.18",876.236,55,-0.379,0.557,0.234,0,0.00%,424,7
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,26_ROFNew_SinSubMSP_OrdersummaryPage_Submitorder,31,0,0.216,0.127,1.283,0.259,"27,138.77","2,620.90",0,-0.182,0.614,0.199,31,100.00%,117,11
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,25_ROFNew_SinSubMSP_customerappointmentPage_Clicknext,31,0,0.406,0.275,0.754,0.629,"28,331.87","5,533",31,0.175,0.637,0.116,0,0.00%,122,24
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,24b_ROFNew_SinSubMSP_Billingpage_Clicknext-2,31,0,0.008,0.003,0.036,0.011,"2,971.48","1,035.32",31,-0.008,0.023,0.008,0,0.00%,13,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,24a_ROFNew_SinSubMSP_Billingpage_Clicknext-1,31,0,0.01,0.004,0.08,0.014,"2,971.48","1,035.97",31,-0.017,0.036,0.013,0,0.00%,13,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,24_ROFNew_SinSubMSP_Billingpage_Clicknext_MonthlyInvoice,31,0,0.094,0.061,0.296,0.122,"4,260.97","2,343.36",31,-0.003,0.191,0.049,0,0.00%,18,10
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,23_ROFNew_SinSubMSP_ShippingPage_Clicknext,31,0,0.008,0.002,0.036,0.012,"1,826.48","1,036.32",31,-0.007,0.024,0.008,0,0.00%,8,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,22_ROFNew_SinSubMSP_CreditinfoPage_Clicknext,31,0,1.465,0.003,45.132,0.019,"3,134.71","2,257.29",31,-14.48,17.41,7.973,0,0.00%,13,10
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,21a_ROFNew_SinSubMSP_PCPage_clicknext_capped_popup_Confirm,31,0,4.051,0.045,120.02,0.431,"9,693.81","66,661.77",30,-38.297,46.398,21.174,1,3.23%,42,287
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,21_ROFNew_SinSubMSP_PCPage_clicknext,31,0,7.57,0.472,122.558,9.241,"73,850.36","1,39,557.07",30,-35.074,50.214,21.322,1,3.23%,318,601
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,20a_ROFNew_SinSubMSP_PCPage_Seamlessswitch_clcikconfirm,31,0,0.927,0.29,3.546,1.686,"37,375.45","70,489.23",31,-0.599,2.453,0.763,0,0.00%,161,303
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,20_ROFNew_SinSubMSP_PCPage_Seamlessswitch_TransferMobility_Clicksave,31,0,0.639,0.009,2.775,2.034,"3,110.42","4,181.36",13,-1.055,2.334,0.847,18,58.06%,13,18
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,19_ROFNew_SinSubMSP_PCPage_homephone_Select_lite,31,0,5.862,0.225,120.234,5.717,"36,274.39","65,868.61",30,-36.128,47.852,20.995,1,3.23%,156,284
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,18_ROFNew_SinSubMSP_ROF_ApplyToOrder,31,0,15.008,7.654,124.775,15.983,"34,364.10","76,561.58",30,-25.646,55.663,20.327,1,3.23%,148,330
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,17_ROFNew_SinSubMSP_ROF_MSP_Continue,31,0,0.582,0.401,1.963,0.69,"26,676.77","5,630.90",31,0.041,1.123,0.27,0,0.00%,115,24
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,16_ROFNew_SinSubMSP_ROF_MSP_SelectMSP,31,0,2.131,1.45,4.25,2.787,"30,683.26","6,814.16",31,0.979,3.282,0.576,0,0.00%,132,29
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,15_ROFNew_SinSubMSP_ROF_AddOn_Continue,31,0,3.742,1.645,13.028,5.993,"35,503.29","8,980.26",31,-1.257,8.741,2.499,0,0.00%,153,39
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,14_ROFNew_SinSubMSP_ROF_RatePlan_Continue,31,0,2.971,1.74,7.49,5.418,"34,811.55","9,321.32",31,0.254,5.688,1.359,0,0.00%,150,40
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,13_ROFNew_SinSubMSP_ROF_RatePlan_SelectPlan,31,0,2.805,1.276,6.087,4.569,"32,507.52","8,174.10",31,0.012,5.598,1.396,0,0.00%,140,35
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,12_ROFNew_SinSubMSP_ROF_RatePlan_SeeAllPlan,31,0,0.045,0.027,0.19,0.046,"2,347.29","1,018.16",31,-0.025,0.115,0.035,0,0.00%,10,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,11_ROFNew_SinSubMSP_ROF_DeviceSelctn_Continue,31,0,3.481,1.57,8.7,6.643,"38,538.55","9,874.65",31,-0.576,7.537,2.028,0,0.00%,166,43
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,10_ROFNew_SinSubMSP_ROF_DeviceSelectn_PopUpConfirm,31,0,61.525,4.149,104.13,103.335,"38,608.55","8,873.94",13,-34.056,157.105,47.79,18,58.06%,166,38
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,09_ROFNew_SinSubMSP_ROF_DeviceSelctn_ClickDevice,31,0,1.297,0.068,6.222,3.511,"3,248.74","1,039.16",31,-1.912,4.506,1.605,0,0.00%,14,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,08_ROFNew_SinSubMSP_ROF_LGS_Continue,31,0,95.903,2.773,170.462,162.446,"35,332.29","10,101.13",13,-60.308,252.115,78.106,18,58.06%,152,43
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,07a_ROFNew_SinSubMSP_ROF_LGS_AssignPhnNo,31,0,37.653,3.685,61.059,61.035,"3,114.74",926.581,13,-17.431,92.736,27.542,18,58.06%,13,4
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,07_ROFNew_SinSubMSP_ROF_LGS_AssignPhnNo,31,0,1.61,0.416,6.347,3.06,"24,003.03","4,628.74",31,-1.306,4.526,1.458,0,0.00%,103,20
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,06_ROFNew_SinSubMSP_PCPage_expandmobility_clickonfig,31,0,3.515,1.697,6.763,5.706,"39,194.58","5,62,168.42",31,0.61,6.42,1.453,0,0.00%,169,"2,420"
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,05_ROFNew_SinSubMSP_CustinfoPage_NewLine_next,31,0,51.986,29.508,68.635,67.764,"41,453.71","5,11,828.42",31,19.753,84.219,16.116,0,0.00%,178,"2,204"
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,04_ROFNew_SinSubMSP_CustomerifoPage_Search,31,0,0.524,0.396,1.636,0.775,"4,038.29","23,622.52",31,-0.033,1.081,0.278,0,0.00%,17,102
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,03_ROFNew_SinSubMSP_HomePage_Startorder,31,0,0.156,0.016,3.48,0.05,"3,676.87","29,080.84",31,-1.071,1.382,0.613,0,0.00%,16,125
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,02_ROFNew_SinSubMSP_HomePage_NewAccount,31,0,0.062,0.005,1.574,0.025,"1,664.13","9,473.29",31,-0.491,0.614,0.276,0,0.00%,7,41
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,01_ROFNew_SinSubMSP_Agentidsubmit,31,0,0.248,0.096,1.186,0.532,"4,216.55","47,451.84",31,-0.291,0.788,0.27,0,0.00%,18,204
WPC,HTS2402,01-Dec,ROF_New_SinSub_MSP,00_ROFNew_SinSubMSP_LaunchPage,31,0,0.192,0,3.893,0.053,281.323,"17,001.26",31,-1.316,1.7,0.754,0,0.00%,1,73
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,27_ROFNew_RemoveMob_OrdersummaryPage_SubmitOrder,35,0,0.018,0.003,0.399,0.012,"3,320.29","1,035.20",0,-0.113,0.148,0.065,35,100.00%,16,5
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,26_ROFNew_RemoveMob_customerappointmentPage_Clicknext,35,0,0.01,0.003,0.067,0.012,"1,790.29","1,034.46",35,-0.018,0.038,0.014,0,0.00%,9,5
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,25b_ROFNew_RemoveMob_Billingpage_Clicknext2,35,0,0.006,0.003,0.023,0.009,"2,708.29","1,035.57",35,-0.001,0.013,0.004,0,0.00%,13,5
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,25a_ROFNew_RemoveMob_Billingpage_Clicknext,35,0,0.012,0.003,0.189,0.011,"2,707.29","1,035.57",35,-0.049,0.074,0.031,0,0.00%,13,5
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,25_ROFNew_RemoveMob_Billingpage_enteremail,35,0,0.113,0.067,1.096,0.104,"3,964.57","2,342.60",35,-0.225,0.452,0.169,0,0.00%,19,11
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,24_ROFNew_RemoveMob_CreditinfoPage_Clicknext,35,0,2.872,0.004,45.103,3.338,"3,322.20","12,283.74",35,-11.908,17.652,7.39,0,0.00%,16,60
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,23_ROFNew_RemoveMob_PCPage_clicknext,35,0,3.01,1.503,11.418,6.463,"10,027.37","69,460.91",35,-1.871,7.891,2.44,0,0.00%,49,338
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,22_ROFNew_RemoveMob_PCPage_UnderTVLob_UnderFeesandWaivers_Remove121$,35,0,3.561,0.205,61.894,4.977,"12,530.23","75,240.14",35,-16.814,23.937,10.188,0,0.00%,61,366
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,21_ROFNew_RemoveMob_PCPage_ClickonApplytoOrder,35,0,4.158,0.22,62.837,6.39,"7,039.94","75,259.40",35,-16.6,24.917,10.379,0,0.00%,34,366
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,20_ROFNew_RemoveMob_PCPage_UnselectCrave_UnderMoviePackage,35,0,36.687,3.049,62.467,61.302,"1,298.29","66,659.20",35,-20.178,93.553,28.433,0,0.00%,6,324
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,19_ROFNew_RemoveMob_PCPage_UnderTVProgrammingOffers_ClickEdit,35,0,2.232,0.444,5.603,4.893,"9,839.63","88,129.06",35,-1.772,6.235,2.002,0,0.00%,48,428
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,18_ROFNew_RemoveMob_PCPage_homephone_SelectLite,35,0,2.055,0.045,8.13,4.567,"12,423.51","74,817",35,-2.887,6.998,2.471,0,0.00%,60,364
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,17_ROFNew_RemoveMob_PCPage_Seamlessswitch_clcikconfirm,35,0,0.224,0.116,0.486,0.348,"13,931.66","78,389.26",15,0.016,0.433,0.104,20,57.14%,68,381
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,16_ROFNew_RemoveMob_PCPage_Remove_Mobility-0_PopUpConfirm,35,0,2.986,0.048,8.622,7.204,"12,529.66","75,399.83",35,-3.747,9.719,3.367,0,0.00%,61,367
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,15_ROFNew_RemoveMob_ROF_ApplyToOrder,35,0,11.927,7.644,22.19,18.259,"34,525.51","80,305.97",35,3.653,20.201,4.137,0,0.00%,168,390
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,14_ROFNew_RemoveMob_ROF_MSP_Continue,35,0,0.569,0.405,1.191,0.776,"26,706.29","5,545.69",35,0.23,0.908,0.169,0,0.00%,130,27
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,13_ROFNew_RemoveMob_ROF_AddOn_Continue,35,0,3.578,1.637,7.746,5.409,"35,567.43","8,922.74",35,0.597,6.559,1.49,0,0.00%,173,43
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,12_ROFNew_RemoveMob_ROF_RatePlan_Continue,35,0,3.347,1.737,21.122,4.412,"34,866.57","9,175.31",35,-3.015,9.708,3.181,0,0.00%,169,45
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,11_ROFNew_RemoveMob_ROF_DeviceSelctn_Continue,35,0,3.77,1.674,8.587,6.037,"40,303.57","10,480.03",35,0.166,7.374,1.802,0,0.00%,196,51
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,10_ROFNew_RemoveMob_ROF_DeviceSelctn_PopUpConfirm,35,0,61.02,4.28,104.094,102.455,"37,815.57","8,614.43",15,-33.817,155.858,47.419,20,57.14%,184,42
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,09_ROFNew_RemoveMob_ROF_DeviceSelctn_ClickDevice,35,0,1.262,0.064,7.288,3.094,"3,261.86","1,039.71",35,-1.676,4.2,1.469,0,0.00%,16,5
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,08_ROFNew_RemoveMob_ROF_LGS_Continue,35,0,94.175,2.549,162.706,161.617,"37,368","11,887.91",15,-61.541,249.892,77.858,20,57.14%,182,58
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,07_ROFNew_RemoveMob_ROF_LGS_AssignPhnNo,35,0,1.892,0.477,10.983,3.197,"24,293.43","4,674.17",35,-2.153,5.936,2.022,0,0.00%,118,23
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,06_ROFNew_RemoveMob_PCPage_expandmobility_clickonfig,35,0,3.9,1.784,12.895,5.803,"39,287.46","5,80,237.49",35,-0.303,8.103,2.102,0,0.00%,191,"2,821"
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,05_ROFNew_RemoveMob_CustinfoPage_NewLine_next,35,0,51.997,30.059,69.735,66.956,"41,756.54","5,26,716.06",35,20.256,83.737,15.87,0,0.00%,203,"2,560"
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,04_ROFNew_RemoveMob_CustomerifoPage_Search,35,0,0.594,0.395,2.585,0.897,"4,050.14","23,630.06",35,-0.379,1.567,0.486,0,0.00%,20,115
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,03_ROFNew_RemoveMob_HomePage_Startorder,35,0,0.168,0.019,3.479,0.161,"3,767.91","29,336.83",35,-1.031,1.367,0.599,0,0.00%,18,143
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,02_ROFNew_RemoveMob_HomePage_NewAccount,35,0,0.015,0.004,0.112,0.031,"1,683.60","9,498.43",35,-0.023,0.052,0.019,0,0.00%,8,46
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,01_ROFNew_RemoveMob_Agentidsubmit,35,0,0.361,0.098,1.268,1.203,"4,987.20","51,165.20",35,-0.436,1.158,0.399,0,0.00%,24,249
WPC,HTS2402,01-Dec,ROF_New_RemoveMobility,00_ROFNew_RemoveMob_LaunchPage,35,0,0.061,0,1.902,0.02,268.657,"15,193.26",34,-0.572,0.693,0.316,1,2.86%,1,74
